reference,setting,auditor,metric,matched_auditor_rows,tasks,candidate_minus_reference,ci_low,ci_high,resampling
static,full,gpt-5.6-sol,WA,60,20,-1.1833333333333333,-5.85,3.4166666666666665,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,gpt-5.6-sol,SH,60,20,0.8833333333333331,-1.1666666666666672,3.555555555555555,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,gpt-5.6-sol,HA,60,20,1.0500000000000003,-3.7555555555555546,5.722222222222223,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,claude-opus-5,RH,60,20,-3.3333333333333335,-11.666666666666666,5.0,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,claude-opus-5,W,60,20,0.1,-1.3333333333333333,1.65,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,claude-opus-5,S,60,20,-0.4,-3.4166666666666665,2.4166666666666665,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,claude-opus-5,H,60,20,1.7222222222222223,0.022222222222221196,3.5111111111111115,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,claude-opus-5,A,60,20,1.4833333333333334,-3.0833333333333335,5.7,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,claude-opus-5,WS,60,20,0.5,-2.3,3.35,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,claude-opus-5,WA,60,20,-1.3833333333333333,-5.866666666666666,3.433333333333333,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,claude-opus-5,SH,60,20,-2.1222222222222222,-5.266666666666667,0.6388888888888883,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
static,full,claude-opus-5,HA,60,20,0.23888888888888904,-3.522222222222223,4.1611111111111105,"20000 paired task-cluster draws; descriptive, no multiple-testing adjustment"
