setting,task_id,replicate,coverage,original_admitted,candidate_admitted,original_W,candidate_W,delta_W,original_S,candidate_S,delta_S,original_H,candidate_H,delta_H,original_A,candidate_A,delta_A,original_WS,candidate_WS,delta_WS,original_WA,candidate_WA,delta_WA,original_SH,candidate_SH,delta_SH,original_HA,candidate_HA,delta_HA
user,da-15-2,3,none->admitted,0,1,67.0,83.0,16.0,70.0,73.0,3.0,68.83333333333334,81.33333333333334,12.5,61.5,43,-18.5,-3.0,10.0,13.0,5.5,40.0,34.5,1.1666666666666643,-8.333333333333336,-9.5,7.333333333333336,38.333333333333336,31.0
user,da-15-7,1,admitted->none,1,0,67.0,77.0,10.0,67.0,77.0,10.0,72.0,77.0,5.0,50,39,-11,0.0,0.0,0.0,17.0,38.0,21.0,-5.0,0.0,5.0,22.0,38.0,16.0
user,da-15-7,2,none->admitted,0,1,77.0,57.0,-20.0,63.5,50.0,-13.5,69.33333333333334,53.33333333333333,-16.000000000000014,56.5,74,17.5,13.5,7.0,-6.5,20.5,-17.0,-37.5,-5.833333333333336,-3.333333333333332,2.5000000000000036,12.833333333333336,-20.666666666666668,-33.5
user,da-15-7,3,admitted->none,1,0,77.0,77.0,0.0,73.5,74.5,1.0,73.5,75.33333333333333,1.8333333333333286,60.5,55,-5.5,3.5,2.5,-1.0,16.5,22.0,5.5,0.0,-0.8333333333333286,-0.8333333333333286,13.0,20.33333333333333,7.333333333333329
user,da-15-8,1,admitted->none,2,0,100.0,100.0,0.0,100.0,91.0,-9.0,98.33333333333334,85.0,-13.333333333333343,52.5,52.5,0.0,0.0,9.0,9.0,47.5,47.5,0.0,1.6666666666666643,6.0,4.333333333333336,45.833333333333336,32.5,-13.333333333333336
user,da-15-8,2,admitted->none,2,0,90.0,100.0,10.0,90.0,100.0,10.0,90.0,100.0,10.0,59,49.5,-9.5,0.0,0.0,0.0,31.0,50.5,19.5,0.0,0.0,0.0,31.0,50.5,19.5
user,da-15-8,3,none->admitted,0,1,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,45,42,-3,0.0,0.0,0.0,55.0,58.0,3.0,0.0,0.0,0.0,55.0,58.0,3.0
user,da-16-1,1,admitted->none,1,0,100.0,100.0,0.0,97.5,95.0,-2.5,95.83333333333334,94.16666666666666,-1.6666666666666856,83,84.5,1.5,2.5,5.0,2.5,17.0,15.5,-1.5,1.6666666666666643,0.8333333333333357,-0.8333333333333286,12.833333333333336,9.666666666666664,-3.1666666666666714
user,da-16-1,2,admitted->none,1,0,100.0,95.0,-5.0,93.5,91.0,-2.5,95.33333333333333,88.83333333333334,-6.499999999999986,78,85,7,6.5,4.0,-2.5,22.0,10.0,-12.0,-1.8333333333333286,2.1666666666666643,3.999999999999993,17.33333333333333,3.8333333333333357,-13.499999999999993
user,da-16-1,3,admitted->none,1,0,100.0,100.0,0.0,94.0,89.5,-4.5,94.16666666666666,89.83333333333334,-4.333333333333314,75.5,80.5,5.0,6.0,10.5,4.5,24.5,19.5,-5.0,-0.1666666666666643,-0.3333333333333357,-0.1666666666666714,18.666666666666664,9.333333333333336,-9.333333333333329
