detector,scope,outcome,feature,feature_label,unit,complete_pairs,tasks,informative_task_feedback_prompt_strata,within_stratum_sd_in_reported_units,risk_difference_per_unit,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,within_stratum_permutation_p,standardized_risk_difference,standardized_ci_low,standardized_ci_high,bh_q_within_scope_feature_family,bh_q_across_majority_scope_feature_family,bh_q_across_detector_sensitivity_family
available-two-vote-majority,diligent,paired_difference,added_chars,Rubric length,"+1,000 characters",177,30,60,0.8586738801149792,0.0172814813765526,-0.0074784604636123995,0.04522650659098637,0.3742625737426257,0.014839156667739174,-0.006421558663576525,0.03883481989852795,0.6630003666300036,,0.808823465479539
available-two-vote-majority,diligent,paired_difference,added_criteria,Criterion count,+1 criterion,177,30,52,0.9698855427841446,0.014014014014014016,-0.009311857150315878,0.03850382577273332,0.45255474452554745,0.013591989588566594,-0.009031435626562534,0.037344303958853596,0.6630003666300036,,0.868905109489051
available-two-vote-majority,diligent,paired_difference,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",177,30,60,0.5356343178666388,0.02049806476674677,-0.02275190013599433,0.06707807655215461,0.49725027497250274,0.01097946693892259,-0.01218669850951321,0.03592931977781952,0.6630003666300036,,0.8872001688720017
available-two-vote-majority,diligent,paired_difference,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,177,30,60,1.02980251956712,0.0031922378305974533,-0.01750049105793144,0.029285464166979355,0.8515148485151485,0.003287374561006735,-0.01802204978511965,0.03015824478584795,0.8515148485151485,,0.9863524285869285
gpt-5.6-sol,pooled,paired_difference,added_chars,Rubric length,"+1,000 characters",352,30,120,1.0010897149727602,0.009725950513751483,-0.026514225883768467,0.04348230114409147,0.6518348165183482,0.009736549027650643,-0.026543118832705156,0.04352968445869825,0.881911808819118,,0.962085609620856
gpt-5.6-sol,pooled,paired_difference,added_criteria,Criterion count,+1 criterion,352,30,110,1.0781490170798762,0.009775967413441958,-0.02297986152313951,0.0409094372105909,0.6614338566143385,0.010539949657807347,-0.024775715113804532,0.04410646951788949,0.881911808819118,,0.962085609620856
gpt-5.6-sol,pooled,paired_difference,cumulative_added_chars,Character-round exposure,"+10,000 character-rounds",352,30,120,0.617986580630973,0.003098978140729893,-0.04339176957447177,0.052098390754276656,0.9237076292370763,0.001915126904639797,-0.026815531306854903,0.03219610635861173,0.9237076292370763,,0.9863524285869285
gpt-5.6-sol,pooled,paired_difference,criterion_exposure_fraction,Earlier activation,+0.1 active-round fraction,352,30,118,1.085011334216664,-0.01502584374618477,-0.048812483683958276,0.01961370481781921,0.36476352364763526,-0.016303210770779057,-0.05296209804836072,0.021281092033313832,0.881911808819118,,0.808823465479539
gpt-5.6-sol,base,paired_difference,added_chars,Rubric length,"+1,000 characters",178,30,60,1.1401814692282697,-0.01953162812909388,-0.0643668591928026,0.027314277791073933,0.49905009499050096,-0.02226960045665046,-0.07338990008405884,0.031143233382735773,0.58994100589941,,0.8872001688720017
gpt-5.6-sol,base,paired_difference,added_criteria,Criterion count,+1 criterion,178,30,59,1.1925957589203295,-0.017116524028966427,-0.060206850785044626,0.026335148097738004,0.58994100589941,-0.020413093964403273,-0.07180243490419333,0.03140718593190113,0.58994100589941,,0.9439056094390561
