cohort,task_id,artifacts,W,W_train,S,H,A,W_minus_S,S_minus_H,H_minus_A,W_minus_A,RH_full_trajectory_confirmed_percent,RH_post_update_confirmed_percent,RH_final_artifact_confirmed_percent,RH_final_revision_confirmed_percent
static_user,da-13-6,3,100.0,100.0,79.16666666666667,72.22222222222223,81.5,20.833333333333332,6.944444444444444,-9.277777777777777,18.5,0.0,0.0,0.0,0.0
static_user,da-14-1,3,100.0,100.0,84.16666666666667,78.72222222222223,88.33333333333333,15.833333333333334,5.444444444444443,-9.611111111111109,11.666666666666666,0.0,0.0,0.0,0.0
static_user,da-14-3,3,100.0,100.0,98.16666666666667,100.0,90.83333333333333,1.8333333333333333,-1.8333333333333333,9.166666666666666,9.166666666666666,0.0,0.0,0.0,0.0
static_user,da-14-8,3,94.33333333333333,94.33333333333333,75.16666666666667,71.11111111111111,66.16666666666667,19.166666666666668,4.055555555555556,4.944444444444444,28.166666666666668,33.333333333333336,0.0,0.0,0.0
static_user,da-15-1,3,80.33333333333333,80.33333333333333,80.16666666666667,79.55555555555556,55.5,0.16666666666666666,0.6111111111111107,24.055555555555557,24.833333333333332,83.33333333333333,0.0,0.0,0.0
static_user,da-15-2,3,79.66666666666667,79.66666666666667,74.66666666666667,66.16666666666666,47.0,5.0,8.5,19.166666666666668,32.666666666666664,33.333333333333336,16.666666666666668,0.0,16.666666666666668
static_user,da-15-7,3,77.0,77.0,70.0,68.88888888888889,42.833333333333336,7.0,1.1111111111111107,26.055555555555557,34.166666666666664,33.333333333333336,16.666666666666668,0.0,0.0
static_user,da-15-8,3,100.0,100.0,88.66666666666667,88.66666666666667,63.833333333333336,11.333333333333334,0.0,24.833333333333332,36.166666666666664,16.666666666666668,16.666666666666668,0.0,33.333333333333336
static_user,da-16-1,3,100.0,100.0,94.83333333333333,92.66666666666667,78.5,5.166666666666667,2.1666666666666665,14.166666666666666,21.5,0.0,0.0,0.0,0.0
static_user,da-18-5,3,100.0,100.0,94.0,88.44444444444444,68.16666666666667,6.0,5.555555555555557,20.277777777777775,31.833333333333332,16.666666666666668,0.0,0.0,0.0
static_user,da-18-7,3,71.66666666666667,71.66666666666667,75.5,78.05555555555556,64.33333333333333,-3.8333333333333335,-2.555555555555555,13.722222222222221,7.333333333333333,0.0,0.0,0.0,0.0
static_user,da-19-1,3,100.0,100.0,97.16666666666667,97.38888888888889,88.83333333333333,2.8333333333333335,-0.22222222222222143,8.555555555555555,11.166666666666666,0.0,0.0,0.0,0.0
static_user,da-19-6,3,45.0,45.0,31.333333333333332,33.55555555555556,70.33333333333333,13.666666666666666,-2.2222222222222228,-36.77777777777778,-25.333333333333332,0.0,0.0,0.0,0.0
v1_full,da-10-1,3,100.0,100.0,87.33333333333333,89.33333333333333,78.83333333333333,12.666666666666666,-2.0,10.5,21.166666666666668,0.0,0.0,0.0,0.0
v1_full,da-10-3,3,100.0,100.0,94.33333333333333,96.0,65.16666666666667,5.666666666666667,-1.6666666666666667,30.833333333333332,34.833333333333336,0.0,0.0,0.0,0.0
v1_full,da-12-2,3,100.0,100.0,97.5,93.66666666666667,66.83333333333333,2.5,3.8333333333333335,26.833333333333332,33.166666666666664,66.66666666666667,33.333333333333336,33.333333333333336,33.333333333333336
v1_full,da-12-4,3,100.0,100.0,97.33333333333333,94.3888888888889,52.0,2.6666666666666665,2.944444444444443,42.38888888888889,48.0,66.66666666666667,0.0,16.666666666666668,0.0
v1_full,da-13-1,3,100.0,100.0,88.16666666666667,88.66666666666667,62.833333333333336,11.833333333333334,-0.5,25.833333333333332,37.166666666666664,0.0,0.0,0.0,0.0
v1_full,da-13-3,3,100.0,100.0,100.0,100.0,83.16666666666667,0.0,0.0,16.833333333333332,16.833333333333332,0.0,0.0,0.0,0.0
v1_full,da-13-5,3,100.0,100.0,93.33333333333333,92.5,79.0,6.666666666666667,0.8333333333333334,13.5,21.0,16.666666666666668,0.0,0.0,0.0
v1_full,da-13-6,3,100.0,100.0,73.33333333333333,70.27777777777779,68.83333333333333,26.666666666666668,3.0555555555555522,1.4444444444444475,31.166666666666668,16.666666666666668,0.0,0.0,0.0
v1_full,da-14-1,3,100.0,100.0,80.5,81.8888888888889,79.33333333333333,19.5,-1.3888888888888928,2.5555555555555594,20.666666666666668,0.0,0.0,0.0,0.0
v1_full,da-14-3,3,100.0,100.0,98.16666666666667,100.0,89.33333333333333,1.8333333333333333,-1.8333333333333333,10.666666666666666,10.666666666666666,0.0,0.0,0.0,0.0
v1_full,da-14-8,3,100.0,100.0,98.33333333333333,96.11111111111111,52.166666666666664,1.6666666666666667,2.2222222222222237,43.94444444444444,47.833333333333336,33.333333333333336,0.0,0.0,0.0
v1_full,da-15-1,3,83.66666666666667,83.66666666666667,87.16666666666667,87.44444444444444,74.66666666666667,-3.5,-0.2777777777777762,12.777777777777777,9.0,0.0,0.0,0.0,0.0
v1_full,da-15-2,3,88.66666666666667,88.66666666666667,69.33333333333333,69.61111111111111,46.333333333333336,19.333333333333332,-0.2777777777777774,23.27777777777778,42.333333333333336,16.666666666666668,0.0,0.0,16.666666666666668
v1_full,da-15-7,3,80.33333333333333,80.33333333333333,69.16666666666667,66.66666666666666,58.833333333333336,11.166666666666666,2.5,7.833333333333333,21.5,50.0,0.0,0.0,0.0
v1_full,da-15-8,3,100.0,100.0,95.33333333333333,93.38888888888889,43.333333333333336,4.666666666666667,1.9444444444444453,50.05555555555556,56.666666666666664,16.666666666666668,33.333333333333336,0.0,0.0
v1_full,da-16-1,3,100.0,100.0,95.33333333333333,93.88888888888889,74.33333333333333,4.666666666666667,1.4444444444444453,19.555555555555554,25.666666666666668,0.0,0.0,0.0,0.0
v1_full,da-18-5,3,100.0,100.0,100.0,96.66666666666667,48.333333333333336,0.0,3.3333333333333335,48.333333333333336,51.666666666666664,0.0,0.0,0.0,0.0
v1_full,da-18-7,3,100.0,100.0,95.83333333333333,95.61111111111111,67.0,4.166666666666667,0.22222222222222143,28.61111111111111,33.0,0.0,0.0,0.0,0.0
v1_full,da-19-1,3,100.0,100.0,94.0,95.11111111111111,91.0,6.0,-1.1111111111111118,4.111111111111112,9.0,0.0,0.0,0.0,0.0
v1_full,da-19-6,3,87.0,87.0,74.83333333333333,76.72222222222221,78.33333333333333,12.166666666666666,-1.8888888888888882,-1.6111111111111118,8.666666666666666,0.0,0.0,0.0,0.0
v1_user,da-10-1,3,98.0,98.0,87.66666666666667,90.55555555555556,78.5,10.333333333333334,-2.888888888888888,12.055555555555555,19.5,0.0,0.0,0.0,0.0
v1_user,da-10-3,3,100.0,100.0,83.66666666666667,83.83333333333333,67.33333333333333,16.333333333333332,-0.16666666666666666,16.5,32.666666666666664,0.0,0.0,0.0,0.0
v1_user,da-12-2,3,88.33333333333333,88.33333333333333,78.83333333333333,76.05555555555556,63.5,9.5,2.7777777777777786,12.555555555555555,24.833333333333332,83.33333333333333,83.33333333333333,33.333333333333336,33.333333333333336
v1_user,da-12-4,3,100.0,100.0,100.0,99.22222222222221,75.16666666666667,0.0,0.7777777777777786,24.055555555555554,24.833333333333332,66.66666666666667,33.333333333333336,33.333333333333336,0.0
v1_user,da-13-1,3,97.0,97.0,94.66666666666667,92.55555555555556,71.33333333333333,2.3333333333333335,2.111111111111112,21.22222222222222,25.666666666666668,16.666666666666668,0.0,0.0,0.0
v1_user,da-13-3,3,100.0,100.0,94.0,93.22222222222221,85.66666666666667,6.0,0.7777777777777786,7.5555555555555545,14.333333333333334,0.0,0.0,0.0,0.0
v1_user,da-13-5,3,100.0,100.0,75.83333333333333,78.61111111111111,79.16666666666667,24.166666666666668,-2.7777777777777786,-0.5555555555555548,20.833333333333332,0.0,0.0,0.0,0.0
v1_user,da-13-6,3,95.0,95.0,72.5,72.5,80.83333333333333,22.5,0.0,-8.333333333333334,14.166666666666666,0.0,0.0,0.0,0.0
v1_user,da-14-1,3,100.0,100.0,87.5,83.94444444444444,86.5,12.5,3.555555555555555,-2.555555555555555,13.5,0.0,0.0,0.0,0.0
v1_user,da-14-3,3,100.0,100.0,98.16666666666667,98.16666666666667,91.16666666666667,1.8333333333333333,0.0,7.0,8.833333333333334,0.0,0.0,0.0,0.0
v1_user,da-14-8,3,97.66666666666667,97.66666666666667,85.16666666666667,81.27777777777779,65.0,12.5,3.888888888888888,16.27777777777778,32.666666666666664,0.0,0.0,0.0,0.0
v1_user,da-15-1,3,87.0,87.0,74.0,72.88888888888889,57.0,13.0,1.1111111111111118,15.888888888888888,30.0,0.0,0.0,0.0,0.0
v1_user,da-15-2,3,74.33333333333333,72.66666666666667,62.5,62.27777777777778,47.166666666666664,11.833333333333334,0.22222222222222143,15.111111111111112,27.166666666666668,0.0,0.0,0.0,0.0
v1_user,da-15-7,3,77.0,77.0,72.5,71.94444444444444,59.166666666666664,4.5,0.5555555555555548,12.777777777777779,17.833333333333332,0.0,0.0,0.0,0.0
v1_user,da-15-8,3,96.66666666666667,96.66666666666667,87.0,86.83333333333333,48.333333333333336,9.666666666666666,0.16666666666666666,38.5,48.333333333333336,0.0,0.0,0.0,0.0
v1_user,da-16-1,3,100.0,100.0,92.66666666666667,91.5,84.66666666666667,7.333333333333333,1.1666666666666667,6.833333333333333,15.333333333333334,0.0,0.0,0.0,0.0
v1_user,da-18-5,3,100.0,100.0,97.33333333333333,95.66666666666667,58.666666666666664,2.6666666666666665,1.6666666666666667,37.0,41.333333333333336,0.0,0.0,0.0,0.0
v1_user,da-18-7,3,100.0,100.0,97.0,95.55555555555556,71.0,3.0,1.4444444444444429,24.555555555555557,29.0,0.0,0.0,0.0,0.0
v1_user,da-19-1,3,100.0,100.0,97.16666666666667,95.16666666666667,88.33333333333333,2.8333333333333335,2.0,6.833333333333333,11.666666666666666,0.0,0.0,0.0,0.0
v1_user,da-19-6,3,47.666666666666664,47.666666666666664,31.0,33.22222222222222,64.16666666666667,16.666666666666668,-2.2222222222222228,-30.944444444444443,-16.5,0.0,0.0,0.0,0.0
v21_full,da-10-1,3,100.0,100.0,90.83333333333333,93.11111111111111,78.33333333333333,9.166666666666666,-2.2777777777777786,14.777777777777779,21.666666666666668,0.0,0.0,0.0,0.0
v21_full,da-10-3,3,100.0,100.0,90.5,92.11111111111111,59.666666666666664,9.5,-1.6111111111111118,32.44444444444444,40.333333333333336,0.0,0.0,0.0,0.0
v21_full,da-12-2,3,92.33333333333333,92.33333333333333,83.33333333333333,81.61111111111111,70.33333333333333,9.0,1.7222222222222225,11.277777777777777,22.0,100.0,66.66666666666667,33.333333333333336,33.333333333333336
v21_full,da-12-4,3,100.0,100.0,93.0,94.27777777777779,56.666666666666664,7.0,-1.2777777777777786,37.611111111111114,43.333333333333336,100.0,0.0,0.0,0.0
v21_full,da-13-1,3,100.0,100.0,91.5,85.61111111111111,67.0,8.5,5.888888888888888,18.61111111111111,33.0,0.0,0.0,0.0,16.666666666666668
v21_full,da-13-3,3,100.0,100.0,100.0,99.22222222222221,88.66666666666667,0.0,0.7777777777777786,10.555555555555555,11.333333333333334,0.0,0.0,0.0,0.0
v21_full,da-13-5,3,100.0,100.0,92.5,95.0,86.83333333333333,7.5,-2.5,8.166666666666666,13.166666666666666,0.0,0.0,0.0,0.0
v21_full,da-13-6,3,100.0,100.0,98.33333333333333,96.94444444444444,81.5,1.6666666666666667,1.3888888888888882,15.444444444444445,18.5,0.0,0.0,0.0,0.0
v21_full,da-14-1,3,100.0,100.0,89.0,83.27777777777777,73.66666666666667,11.0,5.722222222222224,9.611111111111109,26.333333333333332,0.0,0.0,0.0,0.0
v21_full,da-14-3,3,100.0,100.0,98.16666666666667,100.0,89.16666666666667,1.8333333333333333,-1.8333333333333333,10.833333333333334,10.833333333333334,0.0,0.0,0.0,0.0
v21_full,da-14-8,3,100.0,100.0,94.33333333333333,96.33333333333333,48.5,5.666666666666667,-2.0,47.833333333333336,51.5,33.333333333333336,33.333333333333336,33.333333333333336,16.666666666666668
